run_id,tokens,total_ticks,buy_yes,buy_no,neutral,avg_edge,total_trades,win_rate,total_pnl,avg_pnl_per_trade,fees_paid,param_backtest.fee_bps,param_backtest.slippage_bps,param_strategy.epsilon,param_strategy.min_edge_to_trade
0,tokenA,3,1,1,1,0.015000000000000013,2,0.0,-0.6000000000000005,-0.30000000000000027,0.0,0.0,0.0,0.01,0.01
1,tokenA,3,0,1,2,0.015000000000000013,1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02
2,tokenA,3,0,1,2,0.015000000000000013,1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01
3,tokenA,3,0,1,2,0.015000000000000013,1,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02
4,tokenA,3,1,1,1,0.015000000000000013,2,0.0,-0.6038800000000005,-0.30194000000000026,0.0,0.0,2.0,0.01,0.01
5,tokenA,3,0,1,2,0.015000000000000013,1,0.0,-0.0018799999999996597,-0.0018799999999996597,0.0,0.0,2.0,0.01,0.02
6,tokenA,3,0,1,2,0.015000000000000013,1,0.0,-0.0018799999999996597,-0.0018799999999996597,0.0,0.0,2.0,0.02,0.01
7,tokenA,3,0,1,2,0.015000000000000013,1,0.0,-0.0018799999999996597,-0.0018799999999996597,0.0,0.0,2.0,0.02,0.02
8,tokenA,3,1,1,1,0.015000000000000013,2,0.0,-0.6097000000000006,-0.3048500000000003,0.0097,5.0,0.0,0.01,0.01
9,tokenA,3,0,1,2,0.015000000000000013,1,0.0,-0.004699999999999999,-0.004699999999999999,0.004699999999999999,5.0,0.0,0.01,0.02
10,tokenA,3,0,1,2,0.015000000000000013,1,0.0,-0.004699999999999999,-0.004699999999999999,0.004699999999999999,5.0,0.0,0.02,0.01
11,tokenA,3,0,1,2,0.015000000000000013,1,0.0,-0.004699999999999999,-0.004699999999999999,0.004699999999999999,5.0,0.0,0.02,0.02
12,tokenA,3,1,1,1,0.015000000000000013,2,0.0,-0.6135800600000005,-0.30679003000000027,0.00970006,5.0,2.0,0.01,0.01
13,tokenA,3,0,1,2,0.015000000000000013,1,0.0,-0.006579999999999659,-0.006579999999999659,0.004699999999999999,5.0,2.0,0.01,0.02
14,tokenA,3,0,1,2,0.015000000000000013,1,0.0,-0.006579999999999659,-0.006579999999999659,0.004699999999999999,5.0,2.0,0.02,0.01
15,tokenA,3,0,1,2,0.015000000000000013,1,0.0,-0.006579999999999659,-0.006579999999999659,0.004699999999999999,5.0,2.0,0.02,0.02
